"ProbeID","logFC","P.Value"
"A_33_P3245021",-1.279331525,8.38207786483501e-06
"A_23_P380871",-1.4076175375,3.07871581678266e-05
"A_32_P147622",2.826067125,5.15421892702193e-05
"A_23_P346327",-1.0124592375,0.000145122887884825
"A_23_P117582",1.311106875,0.000183476041421553
"A_23_P23090",-1.189534175,0.000186344983217783
"A_33_P3377304",1.03679185,0.000202815025583052
"A_32_P179998",1.911557025,0.000236978723515973
"A_33_P3405995",-1.1185590625,0.000365402810579414
"A_33_P3301514",-1.2317619,0.000401266750886318
"A_33_P3355937",-1.097389625,0.000411995844089342
"A_21_P0013987",2.3741789,0.00066774181815051
"A_23_P314755",-1.4449585125,0.000692400127873769
"A_33_P3383491",-1.1648451875,0.000725529562978835
"A_21_P0000190",1.5000510125,0.000740875763388112
"A_21_P0004926",1.17819355,0.000801684083518617
"A_21_P0012111",1.784618175,0.000835831931309862
"A_33_P3373690",-1.44867,0.000838577568564417
"A_23_P125435",3.3421695375,0.000863811702445756
"A_33_P3284311",-1.02808615,0.000876376589665364
"A_24_P339944",1.494335475,0.000908143362310795
"A_23_P56578",4.1767389,0.00109973681003724
"A_23_P86751",2.355091425,0.00111889308432918
"A_33_P3375556",1.3347370125,0.0011385408575268
"A_23_P133474",1.80663335,0.00122839235017087
"A_21_P0008912",-1.8655573375,0.00146737637324332
"A_21_P0004982",-1.1708895875,0.00163998325255623
"A_21_P0003420",-1.1761551125,0.00164895924074863
"A_21_P0012495",1.4383321625,0.00180172819761135
"A_33_P3372910",1.702303425,0.00180652003231438
"A_23_P110234",-1.00600155,0.001829421263536
"A_33_P3772150",1.2977339125,0.00184688547505336
"A_33_P3290959",1.368178,0.00190348476816724
"A_21_P0014277",1.732369725,0.00206116921453492
"A_21_P0011563",1.2296051,0.00211304132320365
"A_21_P0013451",-1.3512267125,0.00215872823078479
"A_33_P3367356",-1.022482375,0.00222812534473945
"A_21_P0008185",-1.05145285,0.00223581937266426
"A_23_P373464",1.3560714875,0.002283085454672
"A_33_P3367196",-2.0680985625,0.00250045572908209
"A_21_P0003298",2.10915115,0.00251534818845757
"A_21_P0011629",-1.631473475,0.00260265593452718
"A_21_P0004798",1.2579302,0.00260299306196133
"A_21_P0008117",-1.4134194,0.00267237702614555
"A_21_P0012086",1.9207734625,0.00274773278655901
"A_33_P3511265",-2.8811729375,0.00275168004862962
"A_23_P397320",-1.761122675,0.00282394311273007
"A_24_P339514",1.1077804875,0.00292219977589014
"A_21_P0013526",-1.098102475,0.00296727092680791
"A_21_P0010909",1.0629382125,0.00299210450651088
"A_23_P46105",-1.309542,0.00302705918336759
"A_33_P3369371",2.0438598,0.00321001091205985
"A_24_P926960",2.900278825,0.00327610781866575
"A_33_P3220822",-1.222445175,0.00347718740019228
"A_33_P3358511",1.0310723125,0.00349060116657718
"A_21_P0003165",2.0254308625,0.00351316836411532
"A_23_P13455",-1.2673809,0.00353091701795708
"A_21_P0013576",1.0962767375,0.00360761004836219
"A_21_P0011469",-2.1565589,0.00367639882128155
"A_33_P3366221",2.3534902125,0.00375305810337303
"A_23_P49155",1.780147725,0.00413044031096684
"A_21_P0000072",-1.13930895,0.00414591901793884
"A_33_P3316790",1.5192670125,0.00424134491296431
"A_21_P0006826",1.7971397125,0.00429317612165734
"A_33_P3341601",1.7226435125,0.00433326703478082
"A_32_P219148",1.117837625,0.00438789402832162
"A_21_P0006150",-2.47152435,0.00449270957912006
"A_33_P3322874",-1.22995835,0.00455150469279081
"A_19_P00330814",1.2568568625,0.00468731864439435
"A_23_P399255",2.3522577375,0.00477156109103445
"A_23_P413157",-1.13104505,0.00481542607818998
"A_21_P0003853",1.586456725,0.00490048001206792
"A_24_P411186",1.1350911375,0.00490400121553717
"A_33_P3331916",-1.0460045,0.00533518810808086
"A_19_P00322017",1.30739975,0.00535647506086613
"A_21_P0008779",1.1716190875,0.00542623904763995
"A_21_P0013002",-1.1165833,0.0055404707026539
"A_23_P168130",1.5903867625,0.00572934713931328
"A_33_P3394380",-1.5086983875,0.00596360535579281
"A_21_P0010121",-1.45920145,0.00645803015236149
"A_21_P0007850",1.672488675,0.00650139410923192
"A_24_P70183",3.05043475,0.00652748624672009
"A_23_P202520",1.1196264375,0.0067317605152115
"A_33_P3389973",-1.0541586375,0.00676975758495266
"A_24_P759674",1.029619075,0.00689527960106033
"A_23_P157793",-1.698894825,0.00714675995562812
"A_23_P215060",-1.6209526375,0.00715098992207313
"A_19_P00317731",-1.1406045875,0.00719104720115149
"A_23_P1374",1.637573525,0.0072176655713669
"A_23_P414519",-1.135637975,0.00722695968670893
"A_24_P9883",1.6586402375,0.00740052957277006
"A_23_P398854",2.0750761,0.00744320617664867
"A_33_P3256287",-1.0312372625,0.00752613526080302
"A_33_P3357949",-1.5348889875,0.00760033888411421
"A_23_P140848",-1.21341,0.00761229828408522
"A_21_P0004508",-1.1617372375,0.00774175590550034
"A_24_P303420",1.6052060125,0.00774738662938106
"A_21_P0014620",1.043026475,0.00786319991702169
"A_21_P0002354",1.6382766,0.00788194035196798
"A_21_P0005644",-1.1811235125,0.00790912401530779
"A_33_P3301782",1.42902545,0.00791237525084558
"A_19_P00320998",-1.02008795,0.00807933323667672
"A_33_P3225630",1.0524659125,0.0082100601639797
"A_24_P764690",-1.04193055,0.008403128612748
"A_21_P0013652",1.0304159,0.00842729807951697
"A_33_P3280646",2.9133694375,0.00846173749110706
"A_21_P0007456",1.0037635125,0.00853740509909044
"A_24_P788878",-1.776511575,0.0085959058242039
"A_23_P402936",-1.78429695,0.00865728757931774
"A_33_P3313125",-1.3090461875,0.00872416791740061
"A_23_P206920",3.0759093125,0.00878655682038133
"A_21_P0010624",1.7462675875,0.00891835794360086
"A_33_P3403937",1.682250325,0.00894413905586514
"A_21_P0014542",-2.3148089375,0.0089910167427234
"A_33_P3405864",-1.07277895,0.00899392026942547
"A_33_P3215843",3.257692,0.0090125807059537
"A_33_P3351175",1.6350082125,0.00906479681704737
"A_24_P82155",1.1034992125,0.00911032945442408
"A_21_P0003329",1.0327275125,0.00966879375699866
"A_23_P103720",-1.0039704625,0.00975966635156912
"A_23_P352494",1.2344421625,0.00984623658634398
"A_33_P3220113",1.0636967125,0.00992354825729851
"A_21_P0009124",1.141169775,0.0102091556825178
"A_33_P3366336",1.6520461,0.0102636538002499
"A_23_P405878",1.33197705,0.0102652372426495
"A_21_P0004513",1.3822029125,0.0103471752689966
"A_23_P17695",1.030319575,0.0103934613045069
"A_33_P3228807",1.1003891,0.010462718874575
"A_23_P156562",2.40318245,0.0104954123471422
"A_33_P3418005",1.341427275,0.0105255212622606
"A_23_P381489",-1.0047651,0.0107053756750004
"A_33_P3222947",-1.6859491,0.0109485837159774
"A_23_P1029",2.3577904375,0.0111099219203706
"A_33_P3270826",1.511460725,0.0111573633206724
"A_24_P252364",-1.9309955,0.011502008516027
"A_21_P0010850",-2.199218425,0.0115659766263756
"A_21_P0013086",1.5341343,0.0116067898248292
"A_23_P46879",-2.05565625,0.0117181101381003
"A_24_P213161",-2.0640773125,0.0117506446090492
"A_21_P0004996",-1.209265475,0.0118049136444942
"A_21_P0013186",1.1492824,0.0118607382270922
"A_33_P3392192",2.83493775,0.0119756874773872
"A_33_P3237393",-2.174218325,0.0121430978389468
"A_24_P160969",1.2034904625,0.0121647987359444
"A_21_P0006760",-1.181550175,0.0123814327665855
"A_32_P88231",-1.15267465,0.0124852556656771
"A_21_P0009762",1.023653375,0.0127475333420505
"A_21_P0005499",-1.6197368625,0.0128710342081632
"A_33_P3233645",-1.72736065,0.0130705234490663
"A_23_P150549",-2.154266825,0.0132663128474518
"A_32_P39444",1.16069635,0.0132696442411787
"A_21_P0001563",-1.1473532875,0.0133574925445484
"A_23_P47728",1.162595575,0.0133833822199959
"A_24_P23411",-1.1127297875,0.0134439141407506
"A_21_P0010618",1.6775941625,0.0134947605289922
"A_23_P22647",1.087249575,0.0136508153358782
"A_23_P55270",3.1119610375,0.0139840413398774
"A_23_P117662",-1.173717625,0.0140250574018985
"A_23_P112798",1.0496583125,0.014086733280649
"A_23_P304509",1.3718997625,0.0146326112568423
"A_21_P0011427",1.7469844875,0.0146471732383177
"A_24_P680657",-1.8920234375,0.0146553403280988
"A_21_P0012164",1.453740075,0.0146933745906669
"A_33_P3303146",-1.2629929375,0.0146983761864445
"A_21_P0003781",-1.1045382,0.0147118259682476
"A_24_P402588",1.02649665,0.0147891564589278
"A_33_P3409575",-1.12154155,0.0149128321476453
"A_23_P38244",-1.4749213125,0.0150140083919821
"A_21_P0003122",3.407263025,0.015063879877734
"A_23_P7412",3.72847875,0.0150678136196673
"A_21_P0012438",1.9523810375,0.0151715790146016
"A_21_P0009496",-1.8722716875,0.015251848972967
"A_21_P0014590",1.128830375,0.0153513570616932
"A_21_P0013496",-1.5349556875,0.0154047635797173
"A_23_P45536",1.577552125,0.016017517795147
"A_21_P0008110",-1.0715674375,0.0160286938439517
"A_33_P3376131",-1.04380685,0.0160911630667189
"A_21_P0007846",-1.52729095,0.016121998158305
"A_21_P0013305",1.78033705,0.016436617021716
"A_24_P228796",1.5083626625,0.0164637939164119
"A_21_P0002531",-2.4404708875,0.0165970834719301
"A_33_P3419865",1.1222505125,0.0166795000359596
"A_23_P254863",-1.0955086625,0.0166952630464738
"A_23_P391506",1.1287135,0.0167384691225352
"A_33_P3286846",-1.2781684875,0.0168551704683573
"A_24_P491397",-1.5776791625,0.0168725083946801
"A_23_P15101",2.10119605,0.0169897444134968
"A_21_P0013426",2.21328925,0.017045330618138
"A_21_P0008337",-1.7583247625,0.0170754939730248
"A_23_P106103",-1.5045620625,0.0173247268720244
"A_24_P2361",1.57165225,0.0175208248893575
"A_33_P3300267",1.4968545,0.0176430826466317
"A_23_P91552",-1.675985475,0.0176703858082358
"A_33_P3329686",1.00640535,0.0176945476193846
"A_33_P3230374",-1.41840135,0.017744848386867
"A_21_P0005747",-1.254716875,0.0177705224716458
"A_21_P0003854",1.555859875,0.0178018438480173
"A_21_P0011956",1.0002532125,0.0178354643064513
"A_33_P3548860",-1.4820574125,0.0179239341848165
"A_23_P24903",1.197653925,0.0179736673116805
"A_21_P0000568",-2.3488691875,0.0180679307983541
"A_21_P0011198",-2.421137925,0.0181780185246048
"A_24_P313431",-1.451317625,0.0182001199427256
"A_33_P3335177",2.381356325,0.0182744719678834
"A_33_P3257297",1.3653890125,0.0183387727967163
"A_33_P3395081",1.2339647625,0.018341449150651
"A_33_P3342300",-1.2654181875,0.0186437652053046
"A_32_P358887",-1.286715225,0.0186884966161914
"A_33_P3269924",2.1947920625,0.0187236216550367
"A_33_P3274811",2.1062204375,0.0188077926306489
"A_21_P0001768",1.8261774625,0.0188358334992806
"A_33_P3210278",1.00714,0.018856025124796
"A_21_P0003989",-1.1727509,0.0190371593280592
"A_23_P404536",-1.20876075,0.0190679202729101
"A_21_P0010486",1.2997253,0.0192480822922128
"A_23_P120883",1.0671223125,0.0192498838757448
"A_19_P00319181",1.006686425,0.0192991447740973
"A_33_P3402350",-1.5366840125,0.0193040431956614
"A_23_P45338",1.2857443,0.0194845354280849
"A_32_P332551",-2.592837425,0.0196842503454572
"A_23_P380614",1.19718775,0.0200701142139992
"A_33_P3403913",-1.5143708625,0.0201607805884161
"A_21_P0010134",1.418115975,0.0206368203890394
"A_21_P0012864",-1.4822650875,0.0210569199741452
"A_33_P3679936",-1.3345515375,0.0211939137134774
"A_21_P0003443",-1.6594058125,0.0212706357439289
"A_33_P3262470",-1.0339703875,0.0212720855778655
"A_33_P3233189",-1.7942678625,0.0213268922537858
"A_21_P0004972",-1.2932446,0.0214694490230955
"A_19_P00804024",2.2984202875,0.0214831995535865
"A_33_P3260426",2.08125795,0.0215655828390136
"A_33_P3279379",-1.1078977,0.0216332105269439
"A_21_P0001035",-1.336453175,0.0216439729975094
"A_33_P3413483",-1.4793551375,0.0218461840752048
"A_23_P203743",1.236470375,0.021942612670031
"A_23_P115022",1.2743846625,0.0220349147755399
"A_21_P0011006",-1.2876794,0.0221311420007737
"A_33_P3375314",1.1506759,0.0222654502567976
"A_21_P0007338",1.1243353875,0.0223868729758025
"A_33_P3270776",-1.26204355,0.0224483670266277
"A_32_P60606",1.9500665625,0.022469683585957
"A_23_P216023",-1.1314561125,0.0224930557896144
"A_33_P3229672",1.0701019,0.0225049893304769
"A_21_P0001771",1.3582836125,0.0225113503501063
"A_24_P408603",1.0340487125,0.0226237467037364
"A_33_P3309481",-1.08838215,0.0227834315742101
"A_23_P126089",1.423719975,0.0229047146723446
"A_24_P229638",-1.1854603625,0.0229074607061415
"A_23_P218626",-1.1378118875,0.023046189347323
"A_24_P170983",-1.5232314,0.0230826811181761
"A_21_P0000076",1.585397675,0.0233374492996066
"A_21_P0006582",1.8306019875,0.0233730849551754
"A_23_P379649",1.5091683,0.0236666847146779
"A_33_P3480561",1.1361865,0.0237998190128984
"A_24_P68311",1.111993675,0.0239742834259069
"A_21_P0014795",1.0934264,0.0240075676698544
"A_21_P0006098",-1.0446047,0.0240280426102084
"A_23_P409093",-1.6154782,0.0242249141766038
"A_23_P139434",-2.1829988,0.0242673516328459
"A_21_P0012607",1.191638275,0.0242892810822488
"A_23_P387585",1.5381166875,0.024424922006939
"A_23_P258483",2.1764701375,0.024547699175014
"A_33_P3282307",1.9782893125,0.0246679839172422
"A_33_P3310567",2.463562175,0.0248812300605968
"A_23_P60210",-1.2072509875,0.0249511831932416
"A_21_P0013489",-1.2802998625,0.025181920775324
"A_23_P49657",-2.068481675,0.0252125057404197
"A_23_P62642",2.1467635375,0.0252796117471274
"A_23_P60009",-1.010449575,0.0253508221097221
"A_21_P0009477",-1.2423246875,0.0254780628520435
"A_23_P407840",-1.29898235,0.0255613753228731
"A_19_P00320193",1.101756175,0.0255989019641084
"A_21_P0014266",2.5259964375,0.0256088938083414
"A_21_P0012131",-1.4482207875,0.025644328418238
"A_23_P89062",1.0525098125,0.0256709938890184
"A_21_P0006454",1.344349925,0.0257784222309276
"A_32_P25357",-1.3112102,0.0259650067950626
"A_33_P3386242",1.0852063875,0.0260381016704538
"A_33_P3280875",1.30579845,0.0261593695492164
"A_21_P0013835",1.4435599375,0.0262005656446003
"A_33_P3360675",-1.310970825,0.0262375987279826
"A_32_P189781",-1.2552209625,0.02626495906101
"A_33_P3348714",1.399201425,0.0263174588706699
"A_23_P42784",1.1246835625,0.0266233541224927
"A_21_P0000535",1.9183915125,0.0266794856900693
"A_21_P0012641",1.0839999,0.0267231237788123
"A_23_P257583",1.6071610125,0.0267710859184274
"A_24_P213715",-1.9039063125,0.0268044202120355
"A_23_P361744",-1.8819423875,0.0268430129092428
"A_21_P0010201",-1.3652042875,0.0270176024849314
"A_33_P3221408",2.931634375,0.0270289770208306
"A_21_P0001855",-1.9273453875,0.0271578016607159
"A_19_P00319276",-1.26483735,0.0274833954550923
"A_23_P85082",2.3111484125,0.0275058951525733
"A_23_P362694",-2.547105375,0.0275569423801562
"A_21_P0007766",-1.55702915,0.0275615136830065
"A_33_P3326730",-1.0656183125,0.0276950055049045
"A_21_P0011752",2.0073179625,0.0277370248310959
"A_23_P66481",-1.21814175,0.027766713256853
"A_21_P0010474",-1.5486235,0.0278231099036096
"A_21_P0011686",1.1642155,0.0278558312209165
"A_21_P0008709",1.2626721125,0.0279390572363458
"A_33_P3368301",-1.1123408125,0.0280790657585219
"A_21_P0001040",-1.0827743125,0.0281450653240004
"A_24_P373844",1.7109922,0.0282500986292865
"A_33_P3250443",-1.6416352125,0.0283100294497439
"A_23_P150281",1.1126414625,0.0283577267274804
"A_23_P408285",1.4943798875,0.0284119838237389
"A_33_P3294302",-1.0057438875,0.028422773753401
"A_21_P0011790",-2.4403021375,0.0286027456750142
"A_33_P3283001",1.3856602,0.0291314393763447
"A_33_P3315470",2.4303878625,0.0291648266099394
"A_21_P0012770",1.3344959875,0.0291923733630964
"A_32_P169114",-1.0568072,0.0292110943138263
"A_23_P352266",1.08599975,0.0292553983682033
"A_32_P205053",-1.2144433875,0.0292963439953859
"A_33_P3244112",-1.045692825,0.0293661904867434
"A_23_P10172",1.06392235,0.0294214613141697
"A_21_P0008780",1.279870475,0.029435727500545
"A_23_P148568",-1.0510328625,0.0295165107099777
"A_21_P0012528",1.027040325,0.0297266370079924
"A_24_P255100",-1.374485925,0.0298129495855556
"A_33_P3353275",-1.7727470875,0.0299128017820631
"A_33_P3292719",1.2261635375,0.0300617276960537
"A_33_P3215575",1.1995851,0.0301305672216033
"A_33_P3331511",1.5385887875,0.0304867133233771
"A_33_P3277075",-1.6421387,0.0305367006047777
"A_23_P254507",1.7633125,0.0307507661091098
"A_33_P3325665",-1.923170225,0.0307554190890377
"A_21_P0008149",-1.9464483875,0.0308022090995457
"A_23_P130281",-1.1085826125,0.0309266700893708
"A_21_P0013917",-1.2793919875,0.0309344583943627
"A_21_P0012625",-1.33863975,0.0309755869698414
"A_21_P0008012",-2.43795825,0.0310111958296361
"A_33_P3409090",1.443042825,0.0310325121982522
"A_23_P141665",1.0836452625,0.0311301282413362
"A_21_P0006203",-2.7403095875,0.0311546063039205
"A_23_P58328",-1.816158025,0.0312052037923428
"A_23_P24784",2.1616722125,0.0312742397990172
"A_21_P0001618",-1.357342,0.031290919719595
"A_23_P432005",1.0432767875,0.0313086470982813
"A_21_P0008728",-2.436228225,0.0313530025772617
"A_33_P3221859",-1.1421640125,0.0314544192103886
"A_21_P0013650",1.412426575,0.0314809788586181
"A_21_P0001977",-2.1033955625,0.0316129281284686
"A_21_P0005158",-1.47936115,0.0316675435970485
"A_33_P3358183",-1.0068288125,0.0317802353876764
"A_33_P3266958",-1.3665019375,0.0319688718380662
"A_33_P3368313",-1.1457809375,0.032059282791091
"A_33_P3363245",1.0346061625,0.032096989102456
"A_19_P00322984",1.00514115,0.0322940361377736
"A_33_P3354429",1.12173375,0.032509014895555
"A_21_P0005134",-1.08379345,0.0327116074070659
"A_23_P165598",2.8474267,0.0330582921396522
"A_23_P38427",1.5058508875,0.0330717049330535
"A_21_P0003662",-2.288023225,0.0331418672831833
"A_23_P397455",1.3965058125,0.0332002639873054
"A_21_P0014322",1.8380644875,0.0333737670555809
"A_23_P94338",-1.3236595,0.0334345061453661
"A_21_P0009266",1.06028755,0.0334897132974177
"A_23_P37167",-1.7486974875,0.0334899924126886
"A_19_P00318323",1.5022372625,0.033789424882138
"A_33_P3273230",1.7210046375,0.0337906695027114
"A_33_P3319248",1.3398897625,0.0339064998685639
"A_33_P3293180",1.03372905,0.0339198890529488
"A_23_P371765",-1.07156015,0.0341244098615036
"A_33_P3390411",-1.081594425,0.0341278240168778
"A_32_P66222",1.4208929875,0.0343135920027193
"A_23_P399116",1.3247986,0.0343603293678116
"A_21_P0005381",-1.1520073375,0.0343606336093772
"A_24_P336983",-2.0746525375,0.0343861508928607
"A_23_P40453",1.2953660875,0.03438731694532
"A_33_P3236436",-1.5661085,0.0344451454524223
"A_24_P76078",-1.15742837500001,0.0344596854767399
"A_21_P0010104",-1.227658975,0.0345297426230836
"A_24_P838448",1.723518075,0.0346987127320736
"A_23_P64828",1.1033460875,0.0348596296355329
"A_19_P00317519",1.613105225,0.0349070471083514
"A_23_P30950",2.3063792375,0.0349259675872712
"A_33_P3464025",-1.2581187375,0.034966190045832
"A_21_P0014234",1.2026946375,0.035094087850616
"A_21_P0003082",-1.8531113875,0.0353000592236796
"A_24_P941866",1.3272044375,0.0353157244597003
"ERCC-00018_67",-2.7021569875,0.0353259180792249
"A_33_P3407529",1.06007505,0.0353297946409944
"A_33_P3225022",-1.6280127625,0.0355084378235842
"A_23_P385911",-1.0016766375,0.0355295634175624
"A_21_P0005561",-1.3138611875,0.035548455751213
"A_33_P3241489",-2.066344825,0.0355781101209078
"A_23_P10542",-1.4160130375,0.0357641933965156
"A_33_P3270346",1.6285956625,0.0360357007508548
"A_33_P3246763",-2.5637666375,0.0360417989698333
"A_19_P00320194",1.2574714125,0.0361257341371915
"A_21_P0005598",-2.2276813875,0.0361549717036142
"A_24_P402825",1.477241525,0.0363292011153277
"A_23_P379071",1.4936019125,0.0363742856677868
"A_33_P3316899",-2.7117221125,0.0363896422305078
"A_24_P942921",-1.0123697875,0.0365155319822329
"A_21_P0008814",1.946929175,0.0365994726076288
"A_33_P3277575",-2.470637975,0.036689375398337
"A_23_P152605",-1.4092827625,0.0367999271466542
"A_21_P0000954",-1.7419405125,0.0369089350032283
"A_33_P3217403",1.1835061875,0.0369500901599446
"A_21_P0011539",1.220148325,0.036965451027064
"A_33_P3236322",1.0595318625,0.0370074902776186
"A_23_P314250",1.3283324375,0.0371237993928736
"A_21_P0002564",-2.213135025,0.0372587801927498
"A_21_P0006176",-2.66894395,0.037261287747418
"A_33_P3354464",1.246554775,0.0373391503469656
"A_21_P0013418",-1.0606336875,0.0373544259229239
"A_21_P0010758",1.2186440125,0.0374193518154205
"A_21_P0007494",-2.34393585,0.0375960633371062
"A_21_P0004054",-1.603648875,0.0376229086020082
"A_21_P0013168",1.1665389,0.0376917521836794
"A_33_P3260006",-1.0048889875,0.037717157374582
"A_23_P129665",1.9350852625,0.0377957546040886
"A_21_P0010372",-1.3785051125,0.0379285924173015
"A_21_P0007352",-1.2757236625,0.0379758632250705
"A_32_P216520",2.03579455,0.0380958992222336
"A_33_P3325704",1.8993589375,0.0381019653199902
"A_21_P0009516",1.4007591,0.0381924290172117
"A_33_P3334305",1.23091815,0.0382861374059062
"A_21_P0012044",-1.301117075,0.038297207684473
"A_21_P0008129",-1.8152396,0.0383313106409579
"A_21_P0008765",1.1692739,0.0384246234892903
"A_23_P34452",2.3131889625,0.0384609118928147
"A_23_P115492",1.2967052125,0.038531599311737
"A_23_P78871",1.34252445,0.0385670388886194
"A_23_P78543",1.7288637,0.0388097897484612
"A_21_P0014924",-1.1243960125,0.0389183229296259
"A_23_P351275",1.59963375,0.0392117915129236
"A_24_P385092",1.710512375,0.0392288442697261
"A_21_P0001809",-1.1865942875,0.039256973933019
"A_33_P3340852",1.230643625,0.0393891269133945
"A_21_P0000625",-1.069423125,0.0394443521787307
"A_21_P0000832",-1.5432304,0.0394448823034327
"A_33_P3241621",1.4599569125,0.0394922553850177
"A_21_P0001763",-1.9357337375,0.0395074566614551
"A_24_P243741",1.053019375,0.0397644107074388
"A_23_P258493",1.8508332125,0.0400211419964362
"A_19_P00809168",1.0030158125,0.0401503012470487
"A_21_P0012157",-1.530654375,0.0401681937443997
"A_33_P3396089",-1.2093304125,0.0402531991238733
"A_33_P3799936",1.082062625,0.0404227493706715
"A_33_P3407007",1.0587689375,0.0405327857815241
"A_24_P394940",1.2418353625,0.04060041281268
"A_23_P48988",-1.3109705125,0.0406243306020459
"A_21_P0004392",1.25658445,0.0406551713628763
"A_21_P0011959",1.1611236,0.0406958846000523
"A_21_P0013703",-1.3460885,0.0407331765185293
"A_23_P53588",1.0790025,0.0407496679159926
"A_23_P390958",1.27221255,0.0408819385306271
"A_21_P0014186",1.467762625,0.0408860785691211
"A_33_P3379881",1.2274165125,0.040997669139878
"A_21_P0001508",-1.495740675,0.0411197051327558
"A_21_P0004529",-1.0557129,0.0411474332454852
"A_23_P62741",-2.078564725,0.0412708233192159
"A_33_P3262742",2.68537815,0.0412801393260286
"A_23_P121545",2.2198296625,0.0413164021775762
"A_21_P0013081",-1.1697862875,0.0416903955928171
"A_21_P0000303",-1.8990094125,0.0418830879606101
"A_33_P3282318",-1.213669225,0.0418953317441477
"A_24_P786357",-2.86459155,0.0421235428778637
"A_33_P3359368",-1.523632,0.0421967005310718
"A_21_P0011363",1.5456312875,0.0421972433482297
"A_23_P30554",-1.8957752125,0.0422135496698089
"A_33_P3232637",-1.767416275,0.0425822153400221
"A_23_P32078",-1.96921975,0.0428035425568257
"A_21_P0009887",-1.0240179625,0.0429223321839396
"A_24_P323084",-1.16170625,0.043135242956374
"A_33_P3236993",1.2572010875,0.0433056358048957
"A_21_P0011375",-1.2870117,0.043322988786504
"A_23_P77103",-1.246175875,0.0433695816064535
"A_19_P00321009",2.023004475,0.0434737757040236
"A_21_P0006426",-1.8564419,0.0435484948498801
"A_21_P0002988",-1.9326177375,0.0435959369720556
"A_33_P3832872",-1.0174981375,0.0436976756277419
"A_33_P3239417",-1.4817044125,0.043699454548545
"A_24_P333532",-1.2160484625,0.0437385280424734
"A_24_P24002",-1.045218425,0.0439963752115536
"A_32_P84728",-1.051973175,0.0441343552002661
"A_21_P0000158",-1.0219954375,0.0442017586200465
"A_24_P280148",-1.7358526,0.0444049505379317
"A_33_P3718679",-2.50522145,0.0444455466240965
"A_21_P0007335",-1.4116295,0.0445287152768964
"A_33_P3331491",1.674496875,0.0445616105955991
"A_33_P3323692",-1.00268835,0.0447171128020013
"A_23_P99661",1.029127875,0.044820389564267
"A_33_P3350508",-2.1743379625,0.0448492920168715
"A_32_P73045",-1.3121961875,0.0449431401759429
"A_23_P387184",-1.1649688875,0.0450289837097415
"A_33_P3412087",1.2957747375,0.0450630085403879
"A_33_P3393684",1.1413785375,0.0450959346749662
"A_21_P0011875",-1.3396623625,0.0451474144746897
"A_23_P46238",-1.3944680625,0.0452386799271341
"A_23_P396981",-2.011363875,0.0454850983221048
"A_21_P0003711",-1.3049541125,0.0454945883634575
"A_21_P0006275",-1.2548294125,0.0455059399954013
"A_33_P3367396",-1.0708363375,0.0455381218182883
"A_21_P0005485",1.1596231125,0.0456016494990954
"A_21_P0013884",-1.2008562125,0.0456337607172016
"A_24_P76649",1.4730278,0.0457239241988149
"A_21_P0000059",-1.6383170375,0.0458541284215263
"A_32_P226078",-1.0885557,0.0458779117938542
"A_21_P0000686",-1.2200299875,0.0462828177388303
"A_23_P108157",1.4880616125,0.0467859428206087
"A_21_P0014743",1.1485784625,0.0468401069594481
"A_24_P122921",1.3888735,0.047055144306344
"A_23_P57784",-1.716454075,0.0473119585814927
"A_33_P3249589",1.111975725,0.0473722283174446
"A_21_P0007826",-1.5000535625,0.04747408298413
"A_23_P127385",1.6044671875,0.0475045388817122
"A_21_P0002234",-2.6995248625,0.0477073317419181
"A_33_P3214844",1.0161575375,0.0477358770187032
"A_24_P297551",1.6222396,0.0477585818648856
"A_21_P0011780",-1.8416581375,0.0477853433896022
"A_32_P103669",-1.2685230875,0.047929387894186
"A_33_P3221343",-1.136717575,0.0481013504358538
"A_24_P213763",1.0114777875,0.0483220854599572
"A_33_P3417751",-2.5290061875,0.0483705983409228
"A_33_P3369991",-1.5769670625,0.0484857670008642
"A_32_P58513",-1.4386493625,0.0485537407931512
"A_24_P287043",1.0954235,0.048635356761719
"A_21_P0013129",-1.3414910375,0.0488903844857652
"A_23_P154962",1.5714719375,0.0489695583092936
"A_32_P37592",1.12107175,0.048978831946646
"A_32_P204795",-1.1474097625,0.0492472723106374
"A_32_P420520",-1.236148675,0.0493637613634992
"A_23_P379054",-1.1875211625,0.0494418877860611
"A_23_P114670",1.175169875,0.0494880929363084
"A_21_P0013648",-1.8445758125,0.0495793045131028
"A_33_P3337154",1.8560723625,0.0496973645449942
"A_23_P163697",1.4298918875,0.0497412310936457
"A_21_P0003267",-2.847620375,0.0498273919658407
"A_23_P206661",-1.2616993,0.0498441494908076
"A_24_P197284",-1.1728995,0.0498613657797001
"A_33_P3309725",-1.5681007625,0.049865948538494
